"Nr.";"Anrede";"Titel";"Vorname";"Nachname";"Geburtsdatum";"Straße";"Hausnummer";"Postleitzahl";"Stadt";"Telefon";"Mobil";"Telefax";"EMail";"Newsletter";"Eintragsdatum"
"758";"Frau";"";"Gabriela";"Wiechers";"12.11.2001";"Vorgebirgstraße";"41";"41066";"Mönchengladbach";"02161/95632987";"";"02161/79888710";"g_wiechers@spam-mail.none";"";"14.10.2014"
"759";"Herr";"";"Ortfried";"Horst";"";"Hellenhahner Straße";"190";"56357";"Welterod";"";"0157/4771641";"";"";"ja";"16.07.1995"
"760";"Frau";"";"Dorlis";"Dethlefs";"";"Am Siegerborn";"86";"33161";"Hövelhof";"";"0157/2497671";"";"d.dethlefs@open-mail.none";"ja";"10.09.1980"
"761";"Frau";"";"Belinda";"Ahlborn";"";"Tatenhauser Weg";"1";"25368";"Kiebitzreihe";"04121/79541723";"";"";"";"ja";"24.10.2018"
"762";"Frau";"";"Adeltraut";"Höcherl";"";"Haagweg";"181";"55471";"Kümbdchen";"06761/51753099";"0164/3355792";"";"a-hoecherl@retromail.none";"";"15.10.1979"
"763";"Frau";"";"Dorlinde";"Holloway";"";"Wallensteinstraße";"174";"17168";"Warnkenhagen";"03996/86378965";"0151/5042018";"";"";"";"11.04.1997"
"764";"Herr";"";"Bartosch";"Jochum";"";"Zum Stöffel";"66";"67592";"Flörsheim-Dalsheim";"06243/89796585";"0177/6684244";"";"b.jochum@company.none";"";"12.09.2022"
"765";"Herr";"";"Rutger";"Ohnesorge";"";"Robert-Bosch-Straße";"150";"88178";"Heimenkirch";"08381/4685304";"";"";"r.ohnesorge@domain.none";"";"28.02.2004"
"766";"Frau";"";"Birgit";"Titze";"";"Balgheimer Straße";"71";"61250";"Usingen";"06081/42735216";"0150/1769920";"";"b-titze@bestmail.none";"";"23.01.1983"
"767";"Herr";"";"Burckhardt";"Witte";"";"Stadtstraße";"98";"54636";"Rittersdorf";"";"0158/1281762";"";"";"";"27.12.2014"
"768";"Frau";"";"Elfrieda";"Wurzel";"";"Klostergartenstraße";"153";"63619";"Bad Orb";"";"";"06052/36050060";"elfrieda.1902@justmail.none";"";"01.05.1974"
"769";"Frau";"";"Janette";"Moos";"08.02.1908";"Im Straßenhain";"130";"15236";"Frankfurt";"0335/63734781";"0156/4622715";"";"j.moos@retromail.none";"";"26.07.1970"
"770";"Frau";"";"Laila";"Grein";"21.09.1940";"Hügelweg";"126";"67707";"Schopp";"06307/53982071";"0158/7693706";"";"laila_1940@ultramail.none";"";"13.12.1953"
"771";"Frau";"";"Annika";"Kirschke";"";"Nollweg";"56";"66871";"Oberalben";"06381/19775581";"";"06381/27430305";"";"";"17.07.1922"
"772";"Frau";"";"Roselies";"Döpke";"";"Bornstube";"62";"52445";"Titz";"";"0172/6272839";"";"r_doepke@kitty.none";"";"16.04.2001"
"773";"Frau";"";"Ingrun";"Spangenberg";"22.01.1933";"Im Überdorf";"116";"44229";"Dortmund";"0231/9042382";"0177/4435735";"";"";"";"01.01.2013"
"774";"Frau";"";"Waltrude";"Bröder";"17.05.1979";"Hallesche Straße";"123";"66539";"Neunkirchen";"06821/64429261";"";"";"w.broeder@domain.none";"nein";"26.04.2009"
"775";"Herr";"";"Willibald";"Sauerbier";"";"Ostpromenade";"12";"85307";"Paunzhausen";"";"0174/4061643";"";"w.sauerbier@spam-mail.none";"";"23.08.1994"
"776";"Frau";"";"Nicole";"Brockmeyer";"";"Uferplatz";"174";"55234";"Bermersheim vor der Höhe";"06731/5071392";"0153/9216747";"";"nicole-brockmeyer@retromail.none";"nein";"15.01.2022"
"777";"Frau";"";"Elisabetha";"Huse";"";"Im Rosenbusch";"52";"66484";"Kleinsteinhausen";"06332/4479213";"";"06332/93026160";"ehuse@funmail.none";"ja";"17.03.1956"
"778";"Frau";"";"Christl";"Briggs";"";"Orsoyer Straße";"47";"27616";"Stubben";"04747/61867056";"";"";"christl_briggs@goggle-mail.none";"ja";"25.09.1941"
"779";"Herr";"";"Hellfried";"Suchy";"";"Im Erlengrund";"14";"79104";"Freiburg";"";"";"";"h-suchy@hoster.none";"";"10.09.1981"
"780";"Frau";"";"Florentine";"Denninger";"";"St. Barbara-Straße";"103";"57648";"Unnau";"02661/82471302";"0179/4256594";"";"f.denninger@goggle-mail.none";"";"19.02.1988"
"781";"Frau";"";"Berngard";"Hölzel";"";"Bergische Straße";"59";"55491";"Niederweiler";"06763/77218302";"0155/3425840";"";"";"ja";"22.02.2019"
"782";"Herr";"";"Steffen";"Heß";"";"Platter Straße";"128";"54673";"Leimbach";"06564/65825266";"";"";"";"";"13.06.1993"
"783";"Herr";"";"Karlheinrich";"Vanselow";"";"Koxheidestraße";"7";"24143";"Kiel";"0431/61407013";"0162/4295808";"";"";"";"16.04.1990"
"784";"Frau";"";"Simone";"Schmauder";"";"Haaner Straße";"115";"37327";"Leinefelde-Worbis";"03605/60718040";"0175/8645774";"";"simoneschmauder@trashmail.none";"ja";"23.01.1958"
"785";"k.A.";"";"Gernfried";"Zilch";"28.11.1921";"Heinrich-Kuß-Ring";"100";"67366";"Weingarten";"06344/52501012";"0168/5274416";"";"gernfriedzilch@web.none";"";"03.03.1962"
"786";"Herr";"";"Silas";"Zirkel";"";"Zu den Auen";"173";"56414";"Berod";"06435/10059916";"0175/3672085";"";"";"";"22.07.2013"
"787";"Frau";"";"Sarah";"Angenendt";"";"Otto-Wels-Straße";"67";"21502";"Worth";"";"0154/6914169";"";"sarah.angenendt@trashmail.none";"";"24.03.1951"
"788";"Frau";"";"Katrin";"Dammer";"22.11.1906";"Sunnenbrink";"104";"34439";"Willebadessen";"05646/47358164";"0173/2041162";"";"k_dammer@domain.none";"";"17.12.1923"
"789";"Herr";"";"Theohold";"Becherer";"";"Im Grüngürtel";"11";"21683";"Stade";"04141/2122109";"0162/7725823";"";"";"";"19.12.2009"
"790";"Herr";"Dr.";"Christian";"Franzen";"";"Dr.-Mutterer-Straße";"141";"41066";"Mönchengladbach";"02161/49134814";"0157/9641372";"";"christianfranzen@ultramail.none";"";"16.11.2020"
"791";"Herr";"";"Friedbert";"Bernau";"";"Luchtenberger Straße";"114";"56472";"Dreisbach";"";"";"";"friedbert_bernau@goggle-mail.none";"nein";"16.12.1994"
"792";"Herr";"";"Friedhelm";"Bachmann";"";"Herzbergstraße";"162";"53721";"Siegburg";"";"0164/5755687";"";"friedhelm_bachmann@mymail.none";"nein";"04.12.1992"
"793";"Herr";"";"Rigo";"Uhl";"";"Nordwalder Straße";"95";"54538";"Kinheim";"06541/25685607";"";"";"";"";"05.07.2000"
"794";"Frau";"";"Margarethe";"Schommer";"";"Ernststraße";"168";"55457";"Horrweiler";"";"";"";"margaretheschommer@net-mail.none";"";"04.09.2011"
"795";"Frau";"";"Leonore";"Wessling";"";"Bächelsberg";"84";"35644";"Hohenahr";"06446/74371765";"0171/4606602";"";"l.wessling@goggle-mail.none";"";"30.10.1998"
"796";"Frau";"";"Konstanze";"Butterweck";"";"Am Tor";"5";"56587";"Straßenhaus";"";"0176/2645790";"";"";"";"21.01.1993"
"797";"Herr";"";"Helmo";"Molz";"";"Am Krausen Baum";"84";"56370";"Gutenacker";"";"0166/3439394";"";"h_molz@company.none";"";"21.10.2017"
"798";"Frau";"";"Lara";"Straub";"";"Siegelhof";"24";"38268";"Lengede";"05344/46117348";"";"";"l_straub@ultramail.none";"ja";"10.02.1980"
"799";"Frau";"";"Mathilde";"Jenke";"03.10.1929";"Flachsbruch";"62";"37627";"Wangelnstedt";"05532/8253872";"0170/5598994";"";"mathilde.jenke@email.none";"";"17.01.1940"
"800";"Herr";"";"Börries";"Flock";"";"Kirchenweinbergstraße";"33";"86720";"Nördlingen";"09081/66678978";"0157/8021811";"";"";"";"15.01.2015"
"801";"Herr";"";"Helm";"Ling";"";"Steinmetzstraße";"156";"38165";"Lehre";"05308/12171882";"0150/2510646";"";"";"";"09.04.2015"
"802";"Herr";"";"Swen";"Krammer";"31.07.1911";"Kardinal-von-Galen-Straße";"134";"63849";"Leidersbach";"06028/29850198";"0165/6617741";"";"swen.krammer@inter-mail.none";"";"07.02.1996"
"803";"Frau";"";"Elisabeth";"Ohms";"";"Brauereistraße";"179";"84184";"Tiefenbach";"08709/8662802";"0161/4243203";"";"elisabethohms@spam-mail.none";"";"16.08.2017"
"804";"Herr";"";"Altfried";"Röhl";"";"Mierendorffstraße";"98";"84076";"Pfeffenhausen";"08782/18182138";"0165/2549123";"";"altfriedroehl@kitty.none";"";"02.01.2019"
"805";"Herr";"";"Heidfried";"Ronge";"";"Platter Straße";"116";"25776";"Rehm-Flehde-Bargen";"04882/49008608";"0157/9122137";"";"";"ja";"06.09.2021"
"806";"Herr";"";"Wiethold";"Schaich";"";"Obere Lehmerhöfe";"141";"55576";"Sprendlingen";"06701/40606708";"0154/2763769";"06701/42083090";"wiethold1903@private.none";"ja";"08.07.1989"
"807";"Herr";"";"Woldemar";"Wollny";"";"Kapellenstraße";"53";"56825";"Kliding";"02676/43639028";"0174/2300912";"";"w.wollny@xyz.none";"ja";"23.09.1965"
"808";"Herr";"";"Notker";"Eiselt";"16.08.1975";"Hillesheimer Straße";"160";"58540";"Meinerzhagen";"02354/97970852";"0176/6631336";"02354/55904206";"neiselt@open-mail.none";"ja";"30.03.2000"
"809";"Frau";"";"Emelie";"Kahnt";"";"Kurtscheider Straße";"72";"73557";"Mutlangen";"07171/84217879";"0150/8480012";"";"emelie-kahnt@goggle-mail.none";"nein";"17.05.2019"
"810";"Frau";"";"Friedegard";"Lembcke";"19.09.1903";"Mühlwiese";"52";"76846";"Hauenstein";"06392/22894027";"0179/3628086";"";"f.03@retromail.none";"";"09.07.1997"
"811";"Herr";"";"Reginbert";"Tjaden";"";"Lingelbacher Straße";"152";"54647";"Dudeldorf";"06565/18152305";"";"";"reginberttjaden@goggle-mail.none";"nein";"28.08.2022"
"812";"Frau";"";"Irene";"Schneck";"";"Castorstraße";"171";"26670";"Uplengen";"04956/37806920";"0178/6381117";"";"ireneschneck@net-mail.none";"ja";"14.04.1990"
"813";"k.A.";"";"Hermfried";"Steinig";"25.08.1991";"Kiefholzstraße";"190";"61449";"Steinbach";"06171/3495772";"";"";"hermfried-1991@justmail.none";"ja";"15.09.2021"
"814";"Herr";"";"Mark";"Klump";"";"Janningsweg";"11";"85293";"Reichertshausen";"08441/16678550";"";"";"mark.klump@quickmail.none";"";"26.01.1955"
"815";"Herr";"";"Sieghardt";"Harmsen";"14.03.1930";"Im Büchel";"19";"73635";"Rudersberg";"07183/14704198";"";"07183/41557208";"s-harmsen@validmail.none";"";"04.02.1972"
"816";"k.A.";"";"Nicola";"Scholl";"";"Im Großen Esch";"60";"68623";"Lampertheim";"06206/90495573";"0165/3096168";"";"nicola-scholl@open-mail.none";"";"05.07.1989"
"817";"Herr";"";"Hansjoachim";"Schaffer";"";"Sylvesterstraße";"1";"24867";"Dannewerk";"04621/63866891";"";"";"";"";"01.12.2009"
"818";"Frau";"";"Jamie";"Kuske";"06.01.1955";"Im Schloß-Steinchen";"82";"86513";"Ursberg";"08281/29845877";"0168/4601473";"";"j-kuske@goggle-mail.none";"";"18.02.1990"
"819";"Herr";"";"Bastian";"Brinkhoff";"11.03.1986";"Auf dem Rümmer";"93";"56858";"Würrich";"06763/38492665";"0170/9180387";"";"b.brinkhoff@spam-mail.none";"";"07.02.2008"
"820";"Frau";"";"Dana";"Berry";"";"Suestrastraße";"163";"48712";"Gescher";"02542/8770804";"0161/5306844";"";"danaberry@net-mail.none";"";"26.04.1930"
"821";"Herr";"";"Dittmar";"Johne";"";"Hanstraße";"161";"83547";"Babensham";"08071/73316062";"0168/2917551";"08071/59734782";"";"";"22.11.2016"
"822";"Herr";"";"Borwin";"Romero";"";"Hallgarten";"136";"50735";"Köln";"0221/75585909";"";"";"borwin-romero@company.none";"";"22.10.1966"
"823";"Frau";"";"Peggy";"Ray";"";"Marienstätter Straße";"187";"72229";"Rohrdorf";"";"0174/5301161";"07452/3227218";"peggy-ray@mymail.none";"";"01.01.1978"
"824";"k.A.";"";"Raingardis";"Cannon";"30.12.1980";"Im Spital";"17";"49459";"Lembruch";"05447/15474031";"";"";"r-cannon@net-mail.none";"ja";"10.01.1997"
"825";"k.A.";"";"Erdwin";"Kampe";"";"Scherfeldstraße";"183";"23881";"Alt Mölln";"04542/22874950";"0168/1726843";"";"erdwin-kampe@web.none";"";"16.06.1955"
"826";"Herr";"";"Theo";"Bradley";"23.11.1941";"Sachsenring";"59";"57635";"Hasselbach";"02681/1193172";"0172/7443176";"";"theo_bradley@net-mail.none";"";"15.06.1970"
"827";"Frau";"";"Ella";"Fein";"";"Ebernhahner Straße";"103";"54675";"Roth an der Our";"06564/11366050";"0177/6632551";"";"ellafein@email.none";"";"25.06.2003"
"828";"Frau";"";"Caroline";"Brost";"";"Boothstraße";"91";"84066";"Mallersdorf-Pfaffenberg";"08772/83497887";"";"08772/98030330";"caroline-brost@private.none";"";"26.11.1999"
"829";"Herr";"";"Bertwald";"Kranz";"";"Sprudelstraße";"141";"53505";"Berg";"";"0158/7001079";"";"";"";"16.11.2011"
"830";"Herr";"";"Waldemar";"Schorr";"";"Wildenburg";"142";"30938";"Burgwedel";"";"0172/7427746";"";"waldemar.schorr@email.none";"";"25.01.2008"
"831";"Frau";"Prof.";"Margreth";"Krajewski";"";"Wippeskuhlen";"16";"63825";"Schöllkrippen";"06024/43919732";"0171/6612151";"";"margreth_krajewski@spam-mail.none";"";"02.05.1941"
"832";"Herr";"";"Sigenot";"Dippold";"";"Im Mühlengrund";"97";"59494";"Soest";"02921/71627537";"0154/8541828";"";"s.1943@hoster.none";"";"04.10.1985"
"833";"Frau";"Prof. Dr.";"Karina";"Freiberger";"";"Tannenwaldstraße";"65";"86989";"Steingaden";"08862/50922330";"0173/9277355";"";"";"ja";"07.06.1931"
"834";"Herr";"";"Connor";"Fecht";"";"Steeler Straße";"81";"12526";"Treptow-Köpenick";"030/3880600";"";"";"connor_fecht@ultramail.none";"";"12.06.1971"
"835";"Frau";"";"Gertraude";"Albers";"";"Bonhoefferstraße";"193";"34355";"Staufenberg";"05543/25044590";"";"";"g-albers@justmail.none";"";"23.10.2019"
"836";"Frau";"";"Sissy";"Stölting";"";"Im alten Felde";"6";"25876";"Ramstedt";"04841/8406881";"0156/5661864";"";"";"";"08.07.2013"
"837";"k.A.";"";"Gundolf";"Ingwersen";"";"Im Kappesgarten";"69";"93343";"Essing";"09447/46539177";"";"";"g-ingwersen@retromail.none";"";"19.08.1953"
"838";"Frau";"";"Theres";"Richardson";"01.10.1968";"Oberweg";"9";"47800";"Krefeld";"02151/50536963";"0156/7169815";"02151/17386550";"";"ja";"24.04.1999"
"839";"Frau";"Dr.";"Birge";"Buchwald";"01.10.1917";"Rheinweg";"197";"91358";"Kunreuth";"09199/25474921";"0157/1904587";"";"birge_buchwald@spam-mail.none";"";"05.12.1939"
"840";"Frau";"";"Irmelinde";"Rieker";"";"Im Hardtfeld";"98";"46286";"Deuten";"02369/23692326";"0160/6287300";"";"";"";"25.03.2014"
"841";"Frau";"";"Tara";"Schnakenberg";"";"Altengärtenweg";"47";"24582";"Bordesholm";"04322/16251779";"";"";"t.79@net-mail.none";"";"08.12.1987"
"842";"Frau";"Dr.";"Mareen";"Martensen";"23.06.1902";"Glückaufstraße";"68";"25869";"Gröde";"";"";"";"mareen.1902@inter-mail.none";"";"28.01.1948"
"843";"Herr";"";"Christhelm";"Fritz";"";"Kampstiege";"64";"73540";"Heubach";"";"0170/6020117";"";"cfritz@bestmail.none";"ja";"21.04.1984"
"844";"Herr";"";"Nikodemus";"Prüß";"";"Gremmendorfer Weg";"196";"25725";"Schafstedt";"04805/59938700";"0158/5127732";"04805/71730625";"nikodemus.pruess@live-mail.none";"";"15.02.1973"
"845";"Herr";"Dr.";"Freiwald";"Dietzel";"";"Am Kaisersgarten";"21";"55576";"Zotzenheim";"";"0160/3489116";"";"freiwald-dietzel@company.none";"nein";"28.06.2000"
"846";"Frau";"";"Borka";"Thom";"";"Thöreyer Straße";"33";"57290";"Neunkirchen";"02735/51252560";"0175/4952846";"";"b.thom@web.none";"";"13.05.2017"
"847";"Herr";"";"Baptist";"Kegler";"";"Munscheidstraße";"108";"66484";"Walshausen";"06332/4670636";"0151/7970615";"";"b_kegler@open-mail.none";"";"25.10.2004"
"848";"Frau";"";"Traudel";"Hannig";"";"Schorlemerstraße";"195";"56370";"Gutenacker";"";"";"";"";"";"04.10.2017"
"849";"Herr";"";"Herger";"Keitel";"";"Wildpfad";"191";"55595";"Argenschwang";"";"0153/7443608";"";"h_keitel@open-mail.none";"nein";"04.04.2015"
"850";"Frau";"";"Monika";"Böhler";"";"Georg-Fugmann-Straße";"169";"82049";"Pullach";"089/86643781";"0179/8534028";"";"monika.boehler@live-mail.none";"ja";"12.05.1996"
"851";"Frau";"";"Hermelinde";"Thomann";"";"Am Bölsbach";"117";"31559";"Hohnhorst";"05723/36848309";"";"";"hthomann@bestmail.none";"ja";"01.11.2022"
"852";"Herr";"";"Burckhard";"Zabel";"";"Im Buschkamp";"148";"54524";"Klausen";"06578/74073993";"0154/7743432";"06578/94690460";"b1989@funmail.none";"";"16.01.2006"
"853";"Herr";"";"Markus";"Gschwendtner";"";"Grendel";"144";"68259";"Mannheim";"0621/58206905";"";"";"";"";"05.11.2018"
"854";"Herr";"";"Veith";"Weinberger";"18.02.1907";"Laerer Straße";"76";"28197";"Bremen";"0421/28461504";"0166/4696967";"";"";"nein";"04.06.1959"
"855";"Herr";"";"Pierre";"Robben";"";"Leienhöher Weg";"142";"25557";"Bendorf";"";"0161/1682529";"";"";"";"02.02.2018"
"856";"Frau";"";"Utta";"Bauer";"06.11.1972";"Franz-Schweitzer-Straße";"26";"24361";"Haby";"04356/94015631";"0168/5361436";"";"uttabauer@ultramail.none";"ja";"23.05.2009"
"857";"Herr";"";"Johann";"Reifschneider";"";"Regentenstraße";"14";"79856";"Hinterzarten";"";"0165/1770269";"";"j.1920@open-mail.none";"";"14.06.2020"
"858";"Frau";"";"Doris";"Wille";"";"Fröbelweg";"146";"59757";"Arnsberg";"";"0166/9757873";"";"d-wille@inter-mail.none";"";"02.04.1979"
"859";"Herr";"";"Jannes";"Deters";"";"Ernststraße";"19 a";"24819";"Haale";"04337/19981440";"0165/8229168";"04337/34054313";"j_deters@web.none";"ja";"23.09.2017"
"860";"Herr";"";"Heidfried";"Hornung";"";"Im Kehr";"159";"25594";"Nutteln";"04827/88242518";"0169/3985396";"";"hhornung@spam-mail.none";"";"07.04.2009"
"861";"Frau";"";"Carin";"Tiedemann";"";"Auf der Seeburg";"197";"08428";"Langenbernsdorf";"";"0167/8271732";"";"";"";"11.12.1969"
"862";"Herr";"";"Alrik";"Endres";"15.11.2017";"Burgblick";"65";"55765";"Ellweiler";"";"0167/5797595";"";"";"";"18.11.2020"
"863";"Herr";"";"Kian";"Wetzstein";"";"Kaarster Straße";"55";"60529";"Frankfurt am Main";"069/74122681";"0160/3918952";"";"k37@inter-mail.none";"";"21.10.1972"
"864";"Frau";"";"Edeltrudis";"Sander";"";"Fallerwasen";"24";"94244";"Geiersthal";"09923/62751158";"0159/6381682";"";"edeltrudis-sander@validmail.none";"";"19.10.1964"
"865";"Herr";"";"Nunzius";"Nikolai";"";"Alte Heerstraße";"50";"54668";"Ferschweiler";"06525/93554858";"";"";"";"nein";"15.10.1998"
"866";"k.A.";"";"Maximiliane";"Knipp";"";"Im Lustgarten";"200";"71729";"Erdmannhausen";"";"0160/3363328";"";"maximiliane_2019@net-mail.none";"";"23.01.2023"
"867";"Frau";"";"Ortrud";"Krueger";"";"Isenburger Straße";"27";"94262";"Kollnburg";"09942/9094086";"0178/6525870";"";"o.krueger@open-mail.none";"";"20.09.2013"
"868";"Herr";"";"Trauhard";"Kopietz";"10.05.1932";"Niederheiden";"40";"31714";"Lauenhagen";"";"0160/3829867";"";"t_1932@ultramail.none";"ja";"04.10.2008"
"869";"Herr";"Dr.";"Sigwart";"Heyer";"";"Einhausstraße";"121";"31718";"Pollhagen";"05721/39790752";"0179/9120527";"";"s-1964@ultramail.none";"ja";"31.03.1984"
"870";"Frau";"";"Sandra";"Hollmann";"";"Hirschberger Straße";"102";"73277";"Owen";"07021/78826238";"0163/7638286";"07021/31188955";"sandra_hollmann@live-mail.none";"";"20.05.1970"
"871";"Herr";"";"Thaddäus";"Ertl";"";"Schmiedeweg";"64";"87527";"Sonthofen";"08321/34335131";"0158/2371668";"";"";"ja";"23.02.1950"
"872";"Frau";"";"Ruthilde";"Trippel";"20.09.1904";"Rheinallee";"138";"13585";"Spandau";"";"0162/1217117";"";"";"";"22.06.1952"
"873";"k.A.";"";"Hartmann";"Hermann";"";"Luxemburger Allee";"171";"37603";"Holzminden";"";"0152/2943598";"";"hartmann_hermann@xyz.none";"";"07.01.2015"
"874";"Herr";"";"Manuel";"Graßmann";"";"Auf dem Sand";"125";"55288";"Armsheim";"";"0177/2028718";"";"manuel-grassmann@trashmail.none";"";"29.08.1955"
"875";"Frau";"";"Alinde";"Temmen";"";"Windmühlenberg";"112";"65629";"Niederneisen";"06432/20878125";"0177/9128378";"";"alinde.temmen@company.none";"";"30.06.1958"
"876";"Frau";"";"Irmingard";"Dornbusch";"13.03.1935";"Am Wasserwerk";"200";"55578";"Wolfsheim";"06701/5364365";"0169/9765917";"";"i35@mymail.none";"ja";"16.10.2018"
"877";"Herr";"";"Jörgfried";"Coleman";"";"Krablerstraße";"93";"56332";"Alken";"02605/74855584";"0179/7697792";"";"j.coleman@inter-mail.none";"";"04.12.2016"
"878";"Frau";"";"Waltraut";"Schweikert";"22.08.2007";"Helmarshäuser Straße";"61";"55469";"Altweidelbach";"06761/12697791";"";"";"w.schweikert@trashmail.none";"ja";"06.06.2011"
"879";"Herr";"";"Reinhardt";"Appel";"";"Schiersteiner Straße";"147";"37217";"Witzenhausen";"05542/8036126";"0174/5770831";"";"";"";"02.03.2021"
"880";"k.A.";"";"Gottwalt";"Dauner";"";"Zum Nußberg";"175";"56459";"Berzhahn";"";"";"";"";"";"09.01.1982"
"881";"Frau";"";"Fine";"Seiz";"";"Leibnizstraße";"124";"89542";"Herbrechtingen";"07324/22570575";"0154/8146784";"";"fine_1968@hoster.none";"";"07.02.1972"
"882";"Frau";"";"Daniele";"Seebacher";"25.04.1966";"Kohlaustraße";"134";"54340";"Köwerich";"06502/88367614";"0178/1171258";"";"";"";"14.06.2010"
"883";"Frau";"";"Birgit";"Tams";"17.07.2013";"Richelsberg";"127";"45144";"Essen";"0201/64954667";"0169/8828421";"0201/57390155";"b_tams@hoster.none";"";"18.12.2013"
"884";"k.A.";"";"Adelina";"Ahmed";"";"Kuhdyck";"98";"94353";"Haibach";"09963/87224346";"0165/7644449";"";"adelinaahmed@goggle-mail.none";"nein";"22.01.2003"
"885";"Frau";"";"Almtrud";"Salazar";"15.07.1909";"Niederhonnefelder Straße";"163";"63538";"Großkrotzenburg";"06186/77137505";"0167/5219292";"";"";"";"31.01.1919"
"886";"Herr";"";"Hannes";"Guggemos";"";"Domagkweg";"28";"79685";"Häg-Ehrsberg";"07625/48504394";"0166/6835660";"";"h-guggemos@ultramail.none";"";"03.08.2017"
"887";"Frau";"";"Valentina";"Krey";"";"Am Walde";"14";"79874";"Breitnau";"07652/9237194";"";"07652/62244121";"";"ja";"17.01.2014"
"888";"Frau";"";"Rena";"Kollmer";"";"Heimannstraße";"30";"55291";"Saulheim";"06732/23591909";"";"";"rkollmer@net-mail.none";"";"30.12.1967"
"889";"Frau";"";"Erica";"Böker";"";"Rühlscherweg";"145";"54646";"Stockem";"06561/42282594";"0174/2117056";"";"ericaboeker@web.none";"";"10.10.1996"
"890";"Frau";"";"Margareth";"Ambros";"";"Thürer Straße";"118";"21483";"Gülzow";"04151/80622928";"0176/4175484";"";"m_ambros@email.none";"";"20.06.2018"
"891";"Herr";"";"Heimar";"Dreisbach";"";"Piusallee";"115";"28816";"Stuhr";"0421/27830762";"0155/4164943";"0421/29196823";"heimar.dreisbach@xyz.none";"";"10.11.1937"
"892";"Herr";"";"Burghard";"Köppl";"";"Leienstraße";"159";"56767";"Ueß";"02692/21825659";"0166/5051369";"";"b-1952@inter-mail.none";"";"09.11.1971"
"893";"Frau";"";"Ruth";"Homm";"";"Neugasse";"129";"91090";"Effeltrich";"09133/59110248";"";"";"";"ja";"09.06.2016"
"894";"Herr";"";"Wolfrid";"Lenke";"";"Hohe Straße";"155";"76877";"Offenbach an der Queich";"06348/94446543";"0177/3656967";"";"";"ja";"30.07.2000"
"895";"Frau";"Dr.";"Zoe";"Breitkopf";"";"Am Heidchen";"87";"50858";"Köln";"0221/92878857";"0160/6429434";"";"z_breitkopf@retromail.none";"";"28.09.1998"
"896";"Herr";"";"Utto";"Seiwert";"";"Ludewigstraße";"164";"61184";"Karben";"06039/89827377";"0156/9561455";"06039/71368014";"";"nein";"05.12.2004"
"897";"Herr";"Dr.";"Ottheinrich";"Böschen";"";"Robert-Schuman-Straße";"125c";"25597";"Moordorf";"";"0150/9399495";"";"";"ja";"28.04.2019"
"898";"Herr";"";"Heiderich";"Lohrer";"24.03.1937";"Sonneneck";"144";"54570";"Salm";"06591/48475069";"";"";"heiderich_lohrer@justmail.none";"ja";"25.06.1986"
"899";"k.A.";"";"Bartold";"Fürst";"";"Tannenstraße";"179";"54453";"Nittel";"06584/98530121";"0177/9829072";"";"bartold_2004@trashmail.none";"";"09.03.2017"
"900";"Herr";"";"Justus";"Eisenberg";"";"Barfüßerstraße";"81";"36318";"Schwalmtal";"06638/87468991";"0170/7388954";"";"";"";"21.10.2009"
"901";"k.A.";"";"Werngard";"Solbach";"";"Böcken";"121";"77704";"Oberkirch";"07802/78042438";"0175/7854937";"";"";"";"02.08.1986"
"902";"k.A.";"";"Joschua";"Burmester";"30.10.1908";"Römerweg";"181";"33378";"Rheda-Wiedenbrück";"05242/73600069";"";"";"joschua08@justmail.none";"ja";"12.05.1959"
"903";"Frau";"";"Madeleine";"Middendorf";"";"Siepener Weg";"140a";"49176";"Hilter am Teutoburger Wald";"";"0151/7884470";"05409/59276778";"madeleine_middendorf@web.none";"";"06.09.2012"
"904";"Herr";"";"Raik";"Tobias";"";"Widdeshover Weg";"154";"70825";"Korntal-Münchingen";"07150/84643100";"";"";"";"";"01.07.2012"
"905";"Frau";"";"Juliane";"Lorenzen";"";"Turnhallestraße";"65";"75031";"Sulzfeld";"07269/54421986";"0175/8614196";"";"julianelorenzen@ultramail.none";"ja";"29.07.2003"
"906";"Frau";"";"Ingeborg";"Sandner";"16.02.1962";"Langenauer Straße";"123";"46446";"Emmerich am Rhein";"";"0177/5696703";"";"";"ja";"23.01.1990"
"907";"Herr";"";"Treufried";"Schwank";"";"Bärenacker";"104";"20535";"Hamburg";"040/40429799";"0170/1480711";"";"";"ja";"25.03.2017"
"908";"k.A.";"";"Hildburga";"Burmester";"10.06.2011";"Am Alten Born";"2";"24790";"Rade";"";"0167/2165683";"";"hildburga-burmester@spam-mail.none";"ja";"28.01.2018"
"909";"Herr";"";"Hilar";"Küster";"03.04.1997";"Tannenwaldstraße";"142";"53507";"Dernau";"02643/64607936";"";"";"";"";"28.02.2001"
"910";"Herr";"";"Rouven";"Niedermeyer";"";"Dürenbacher Straße";"129";"55469";"Altweidelbach";"06761/85401915";"";"";"";"ja";"29.07.1991"
"911";"Frau";"";"Hildelies";"Alexander";"21.10.2004";"Friesenstraße";"129";"25899";"Galmsbüll";"04661/60737047";"0171/6765882";"";"";"";"19.03.2010"
"912";"Frau";"";"Lona";"Emig";"19.10.1978";"Handelsstraße";"93";"54316";"Pluwig";"06588/61891396";"0160/1718397";"";"lona_emig@xyz.none";"ja";"16.03.1994"
